Bydel;Inntekt;Formue;Skatt;Alder;Skattepliktige;Andel med høyere utdanning;Rødhet;ApSVR;HFrp;Mynter;Lat;Lon
Bjerkaker;355 654;677 004;125 076;55;6 963;69.7;-0.2;0.448;0.248;8;69.64292933;18.90591941
Hamna;354 089;394 295;125 517;52;2 785;66.2;-0.208;0.431;0.223;1;69.70899437;18.98115375
Kaldfjord;300 249;469 818;101 027;57;3 581;51.4;0.095;0.255;0.35;3;69.675;18.7568
Kattfjord;237 737;473 271;75 624;57;245;26.5;0.26;0.12;0.38;3;69.62296637;18.30799558
Kroken;277 682;369 369;92 059;60;4 206;43.8;-0.093;0.348;0.255;1;69.6841;19.0721
Kvaløysletta;338 632;504 744;117 810;55;4 869;61;-0.082;0.342;0.26;4;69.6884;18.8569
Lakselvbukt;240 095;614 059;69 575;66;647;22.5;-0.231;0.403;0.172;6;69.46034977;19.72982134
Malangshalvøya;251 949;479 646;80 005;61;231;#N/A;-0.176;0.338;0.162;3;69.51329371;18.74950233
Mortensnes;320 395;543 649;109 871;57;3 211;76.2;-0.209;0.454;0.245;5;69.67994783;18.92290649
Ramfjord;252 236;459 362;76 676;63;1 066;32.3;0.214;0.142;0.356;3;69.5614;19.182
Ringvassøy;256 291;462 820;84 786;58;133;#N/A;-0.065;0.23;0.165;3;69.88773791;18.9810471
Sentrum;336 127;593 756;117 468;53;12 326;70.9;-0.29;0.483;0.193;6;69.66023014;18.95357814
Sommarøy;262 471;499 655;79 266;65;430;26.5;0.288;0.166;0.454;4;69.62008883;18.02254309
Stakkevollan;278 337;444 617;93 479;54;3 238;65.5;-0.247;0.434;0.187;2;69.6943747;19.00941117
Tromsdalen;319 239;507 815;108 823;56;10 388;50.4;-0.122;0.388;0.266;4;69.63276045;19.05425326
Vengsøy/Skogvi;246 956;752 275;79 509;61;94;#N/A;#N/A;#N/A;#N/A;10;69.8359;18.5771
